id,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,price_doc
1,11,11.0,2.0,5.0,2.0,1907.0,1.0,12.0,3.0,2750000
3,53,30.0,10.0,16.0,1.0,1980.0,2.0,8.0,3.0,9000000
4,41,37.0,13.0,17.0,1.0,1983.4109561350313,1.0,1.0,2.217643916121277,4457400
5,77,41.0,2.0,17.0,6.0,2014.0,3.0,12.0,1.0,7011550
6,45,27.0,6.0,9.0,1.0,1970.0,2.0,6.0,3.0,7100000
7,38,30.400000000000002,3.0,8.0,2.0,1983.4109561350313,1.0,10.0,2.217643916121277,4168500
8,38,20.0,15.0,16.0,1.0,1982.0,1.0,8.0,2.217643916121277,6450000
9,63,50.400000000000006,17.0,17.0,4.0,2013.0,2.0,1.0,1.0,5903808
11,74,46.0,12.0,24.0,1.0,2004.0,3.0,9.0,3.0,12100000
12,93,93.0,3.0,1.0,1.0,2013.0,3.0,1.0,1.0,5427640
13,51,30.0,7.0,17.0,1.0,2003.0,2.0,9.0,3.0,7700000
14,77,50.0,3.0,5.0,2.0,1957.0,3.0,8.0,2.0,11700000
15,38,19.0,17.0,17.0,1.0,1986.0,1.0,8.0,3.0,1600000
16,82,82.0,5.0,6.0,2.0,1983.4109561350313,2.0,12.0,3.0,3502000
17,43,29.0,3.0,5.0,2.0,1960.0,2.0,5.0,3.0,6400000
18,54,31.0,7.0,10.0,1.0,1995.0,2.0,9.0,3.0,9100000
20,44,28.0,1.0,9.0,1.0,1979.0,2.0,6.0,2.0,7200000
21,32,18.0,7.0,9.0,1.0,1975.0,1.0,5.0,2.217643916121277,5100000
22,52,33.0,13.0,25.0,2.0,2004.0,2.0,7.0,2.217643916121277,11200000
23,56,29.0,5.0,16.0,5.0,1987.0,2.0,10.0,2.0,10400000
24,31,21.0,5.0,9.0,5.0,1962.0,1.0,5.0,3.0,6200000
25,43,27.0,1.0,5.0,2.0,1960.0,2.0,5.0,2.0,5950000
26,46,29.0,9.0,9.0,2.0,1969.0,2.0,5.0,3.0,5900000
27,74,45.0,7.0,14.0,1.0,1993.0,3.0,10.0,2.0,1100000
28,75,46.0,11.0,17.0,1.0,1996.0,3.0,10.0,3.0,10500000
29,45,29.0,2.0,9.0,1.0,1972.0,2.0,6.0,3.0,2000000
30,38,19.0,16.0,17.0,1.0,2011.0,1.0,7.0,1.0,2680000
31,38,24.0,4.0,9.0,2.0,1965.0,2.0,5.0,2.0,4500000
32,54,32.0,7.0,17.0,1.0,2010.0,2.0,9.0,3.0,4569600
33,41,20.0,11.0,12.0,1.0,1985.0,1.0,8.0,2.0,6600000
36,40,24.0,7.0,8.0,2.0,1961.0,2.0,5.0,2.0,7300000
37,33,15.0,12.0,14.0,1.0,2003.0,1.0,7.0,2.0,5300000
38,39,19.0,4.0,17.0,1.0,1985.0,1.0,8.0,2.0,3000000
39,56,38.0,2.0,9.0,1.0,1971.0,3.0,6.0,3.0,10500000
40,60,42.0,4.0,9.0,1.0,1978.0,3.0,6.0,2.217643916121277,1000000
42,38,23.0,7.0,12.0,5.0,1966.0,2.0,6.0,3.0,6700000
43,43,34.4,6.0,22.0,4.0,1983.4109561350313,1.0,1.0,2.217643916121277,4391053
44,71,42.0,16.0,17.0,1.0,1987.0,3.0,10.0,3.0,14500000
45,46,45.0,5.0,5.0,1.0,1967.0,2.0,5.0,3.0,5800000
46,43,27.0,1.0,5.0,2.0,1983.4109561350313,2.0,5.0,2.217643916121277,14000000
47,114,69.0,13.0,18.0,4.0,2000.0,3.0,16.0,2.217643916121277,28500000
48,58,31.0,17.0,17.0,1.0,1985.0,2.0,10.0,3.0,8500000
49,44,27.0,2.0,9.0,1.0,1967.0,2.0,5.0,2.0,6900000
50,39,25.0,1.0,5.0,2.0,1964.0,2.0,5.0,2.217643916121277,6400000
51,39,20.0,3.0,12.0,1.0,1977.0,1.0,8.0,2.0,4850000
52,66,46.0,8.0,16.0,5.0,1983.0,3.0,7.0,3.0,2000000
53,41,17.0,12.0,16.0,1.0,1983.4109561350313,1.0,8.0,2.217643916121277,3000000
54,59,43.0,8.0,9.0,1.0,1980.0,3.0,6.0,3.0,2000000
55,55,55.0,2.0,17.0,6.0,1983.4109561350313,2.0,1.0,1.0,3378817
56,54,32.0,10.0,12.0,1.0,2004.0,2.0,9.0,3.0,10300000
57,53,32.0,9.0,16.0,1.0,1978.0,2.0,9.0,3.0,9300000
58,42,28.0,9.0,9.0,1.0,1970.0,2.0,6.0,2.0,7250000
59,44,28.0,8.0,9.0,2.0,1968.0,2.0,5.0,3.0,8000000
60,36,19.0,5.0,16.0,1.0,1980.0,1.0,8.0,2.217643916121277,6100000
61,37,18.0,12.0,16.0,1.0,1979.0,1.0,8.0,2.0,6900000
62,45,28.0,2.0,5.0,1.0,1964.0,2.0,5.0,3.0,6775000
63,41,32.800000000000004,24.0,25.0,4.0,1983.4109561350313,1.0,10.0,2.217643916121277,3036886
64,78,43.0,1.0,17.0,1.0,1985.0,3.0,10.0,2.0,10500000
65,61,32.0,12.0,14.0,1.0,2000.0,2.0,10.0,3.0,11500000
66,44,30.0,4.0,5.0,5.0,1962.0,2.0,5.0,2.0,5650000
67,51,32.0,6.0,14.0,2.0,1969.0,2.0,8.0,2.0,8720000
68,51,24.0,7.0,14.0,2.0,1971.0,2.0,7.0,3.0,9150000
69,45,30.0,2.0,12.0,1.0,1974.0,2.0,6.0,3.0,7400000
70,60,41.0,3.0,5.0,1.0,1967.0,3.0,5.0,2.0,7200000
71,61,32.0,16.0,23.0,1.0,2008.0,2.0,9.0,2.0,11300000
72,43,43.0,2.0,5.0,2.0,1965.0,2.0,5.0,2.0,6700000
73,35,19.0,16.0,16.0,1.0,1982.0,1.0,8.0,3.0,5700000
74,57,35.0,4.0,5.0,2.0,1959.0,2.0,7.0,2.0,8700000
75,65,33.0,10.0,20.0,2.0,2010.0,2.0,9.0,2.0,2000000
76,30,17.0,5.0,9.0,2.0,1965.0,1.0,6.0,3.0,5900000
77,36,18.0,12.0,16.0,5.0,1986.0,1.0,9.0,2.0,5450000
78,38,24.0,1.0,5.0,2.0,1962.0,2.0,5.0,3.0,6300000
79,32,19.0,4.0,5.0,5.0,1962.0,1.0,5.0,2.0,990000
80,64,46.0,14.0,16.0,5.0,1983.0,3.0,7.0,3.0,12200000
81,48,28.0,1.0,9.0,1.0,1972.0,2.0,9.0,2.0,6200000
82,43,28.0,7.0,9.0,1.0,1969.0,2.0,6.0,3.0,5800000
83,41,19.0,11.0,14.0,6.0,2007.0,1.0,10.0,2.0,7600000
84,71,46.0,6.0,8.0,2.0,1961.0,3.0,8.0,2.217643916121277,14500000
85,50,30.0,7.0,16.0,1.0,1984.0,2.0,8.0,2.0,9900000
86,37,19.0,14.0,17.0,1.0,1983.4109561350313,1.0,1.0,1.0,3845468
87,31,21.0,8.0,9.0,5.0,1962.0,1.0,5.0,3.0,3000000
88,49,29.0,7.0,12.0,1.0,1976.0,2.0,9.0,3.0,1000000
89,54,32.0,14.0,17.0,1.0,1997.0,2.0,9.0,3.0,8050000
90,79,49.0,5.0,5.0,2.0,1957.0,4.0,7.0,2.0,10300000
91,142,142.0,4.0,6.0,2.0,2013.0,2.0,10.0,1.0,5680000
93,54,30.0,3.0,14.0,1.0,1989.0,2.0,8.0,2.217643916121277,8300000
94,55,40.0,4.0,5.0,2.0,1958.0,3.0,5.0,2.0,16000000
95,74,44.0,12.0,17.0,1.0,1988.0,3.0,10.0,3.0,12500000
96,59,42.0,5.0,9.0,1.0,1969.0,3.0,6.0,3.0,10000000
97,57,35.0,7.0,14.0,1.0,2008.0,2.0,8.0,3.0,7700000
98,34,13.0,16.0,25.0,4.0,2012.0,1.0,10.0,2.217643916121277,3478200
99,59,38.0,2.0,9.0,1.0,1975.0,3.0,7.0,2.0,8700000
100,59,47.2,4.0,24.0,1.0,1983.4109561350313,2.0,1.0,2.217643916121277,4837017
101,71,71.0,1.0,22.0,6.0,2013.0,2.0,1.0,1.0,5930866
102,83,44.0,20.0,22.0,1.0,2006.0,3.0,10.0,3.0,2000000
103,52,30.0,7.0,14.0,1.0,1990.0,2.0,8.0,3.0,8500000
104,44,30.0,5.0,5.0,1.0,1961.0,2.0,5.0,2.0,6800000
105,44,28.0,1.0,5.0,5.0,1961.0,2.0,5.0,2.0,3000000
106,124,124.0,2.0,5.0,2.0,1983.4109561350313,2.0,12.0,1.0,5586300
107,44,29.0,3.0,5.0,5.0,1960.0,2.0,6.0,2.0,6300000
108,81,54.0,5.0,7.0,2.0,1958.0,3.0,8.0,3.0,17500000
110,36,19.0,7.0,16.0,5.0,1982.0,1.0,9.0,3.0,2000000
111,50,33.0,7.0,9.0,1.0,1969.0,2.0,6.0,2.0,7200000
112,59,35.0,6.0,9.0,2.0,1946.0,2.0,5.0,2.0,19100000
113,106,72.0,4.0,4.0,2.0,1917.0,5.0,8.0,2.0,22800000
115,40,20.0,5.0,9.0,1.0,2004.0,1.0,8.0,2.0,2000000
116,91,91.0,1.0,1.0,2.0,1983.4109561350313,2.0,12.0,3.0,4101416
117,38,19.0,10.0,17.0,1.0,1993.0,1.0,7.0,4.0,4600000
118,38,19.0,9.0,17.0,1.0,2002.0,1.0,7.0,3.0,6900000
119,58,43.0,3.0,5.0,1.0,1971.0,3.0,6.0,3.0,7000000
120,35,19.0,5.0,12.0,5.0,1971.0,1.0,9.0,2.0,6098000
121,43,27.0,2.0,5.0,2.0,1964.0,2.0,5.0,2.0,6600000
122,56,37.0,5.0,5.0,2.0,1964.0,3.0,5.0,3.0,8600000
123,60,42.0,7.0,9.0,1.0,1968.0,3.0,6.0,2.217643916121277,8900000
124,49,33.0,5.0,9.0,1.0,1979.0,3.0,6.0,2.0,8500000
125,100,50.0,5.0,7.0,6.0,2005.0,3.0,13.0,2.217643916121277,21400000
126,52,28.0,6.0,16.0,1.0,1977.0,2.0,11.0,2.0,1000000
127,45,28.0,8.0,9.0,1.0,1969.0,2.0,6.0,2.217643916121277,2000000
128,37,19.0,6.0,17.0,1.0,2001.0,1.0,6.0,2.0,6500000
129,38,23.0,12.0,12.0,5.0,1966.0,2.0,6.0,2.0,2000000
130,38,20.0,1.0,14.0,1.0,1970.0,1.0,8.0,2.0,4200000
131,77,46.0,9.0,14.0,1.0,1996.0,3.0,10.0,2.0,10200000
132,90,48.0,18.0,25.0,1.0,2010.0,2.0,15.0,3.0,5200000
133,63,46.0,6.0,9.0,1.0,1978.0,4.0,6.0,3.0,8800000
134,32,18.0,5.0,9.0,1.0,1972.0,1.0,6.0,3.0,5400000
135,59,37.0,5.0,9.0,1.0,1976.0,3.0,8.0,3.0,9150000
136,32,21.0,7.0,9.0,5.0,1961.0,1.0,5.0,2.0,4700000
137,37,19.0,14.0,17.0,1.0,2004.0,1.0,7.0,3.0,6600000
138,30,18.0,1.0,5.0,2.0,1963.0,1.0,5.0,3.0,3900000
139,74,46.0,16.0,17.0,1.0,1995.0,3.0,10.0,3.0,9300000
140,38,19.0,12.0,17.0,1.0,2008.0,1.0,7.0,3.0,8800000
141,59,43.0,2.0,9.0,1.0,1974.0,3.0,5.0,2.0,2000000
142,44,28.0,4.0,12.0,1.0,1977.0,2.0,6.0,3.0,1000000
143,33,17.0,6.0,9.0,2.0,1964.0,1.0,8.0,4.0,6500000
144,41,20.0,11.0,12.0,1.0,1978.0,1.0,8.0,2.0,5350000
145,74,48.0,2.0,5.0,2.0,1958.0,3.0,8.0,2.0,10000000
146,56,39.0,1.0,8.0,2.0,1961.0,3.0,5.0,3.0,1400000
147,43,27.0,5.0,9.0,1.0,1966.0,2.0,5.0,2.0,6800000
148,65,41.0,4.0,5.0,2.0,1954.0,2.0,6.0,3.0,11500000
150,34,23.0,2.0,8.0,5.0,1960.0,1.0,5.0,3.0,1000000
151,54,37.0,3.0,5.0,1.0,1963.0,3.0,5.0,1.0,6300000
152,42,23.0,8.0,14.0,1.0,1974.0,2.0,6.0,2.0,7100000
153,38,18.0,3.0,17.0,1.0,1984.0,1.0,8.0,2.0,7000000
154,85,54.0,11.0,11.0,2.0,1957.0,3.0,8.0,2.0,16100000
155,37,18.0,1.0,17.0,1.0,2001.0,1.0,7.0,3.0,5700000
156,31,18.0,2.0,5.0,1.0,1963.0,1.0,5.0,2.0,4650000
157,39,19.0,12.0,17.0,1.0,1996.0,1.0,8.0,3.0,6000000
158,33,16.0,4.0,5.0,2.0,1951.0,1.0,8.0,2.0,5800000
